A=5497 B=8845 C=8300 X=295647460 Y=4728437647 Z=90247943087 M=88
A=7324 B=6850 C=6247 X=375020328 Y=6356006895 Z=77833384788 M=139
A=2869 B=4907 C=8845 X=512288884 Y=1296161509 Z=32579349093 M=98
A=8793 B=5154 C=8560 X=111120279 Y=7274136952 Z=74125986609 M=181
A=9535 B=9050 C=8245 X=102619061 Y=2523310359 Z=27077382231 M=84
A=2723 B=8521 C=6249 X=232347565 Y=5299725475 Z=13021691554 M=147
A=3701 B=9951 C=9608 X=824617612 Y=8637128912 Z=40915856782 M=169
A=4791 B=5516 C=6484 X=445831692 Y=2489674434 Z=10040682420 M=112
A=5824 B=5793 C=5978 X=380142189 Y=1082573025 Z=65112475221 M=112
A=4436 B=7874 C=6099 X=674723929 Y=3573745309 Z=27599323169 M=142
A=7079 B=5044 C=8019 X=563755402 Y=3409340699 Z=97744553116 M=78
A=7682 B=7562 C=5441 X=963650977 Y=9747997688 Z=75053324813 M=187
A=4960 B=8869 C=8968 X=282889860 Y=2774657239 Z=51996443121 M=95
A=7950 B=5942 C=5181 X=524701762 Y=3172801262 Z=74141400370 M=180
A=8513 B=6440 C=8030 X=170556897 Y=9212601056 Z=34600133982 M=144
A=9107 B=4148 C=5813 X=569420727 Y=4615574808 Z=47741256412 M=80
A=8601 B=5637 C=5018 X=498663857 Y=1182495477 Z=86458005094 M=76
A=8023 B=9572 C=7813 X=569488498 Y=4884442509 Z=17874572127 M=192
A=7954 B=3111 C=7423 X=102613494 Y=3735138620 Z=26797594723 M=149
A=4624 B=6104 C=5841 X=150903685 Y=5976103276 Z=37159256501 M=57
A=4505 B=4282 C=8056 X=141995000 Y=6473125939 Z=42864619658 M=126
A=2238 B=5362 C=6072 X=760273694 Y=8627523148 Z=46440523080 M=67
A=2284 B=5576 C=6205 X=124399942 Y=8142971184 Z=41967741021 M=85
A=3520 B=7719 C=8017 X=535862833 Y=5326227211 Z=29070112736 M=94
A=9223 B=6445 C=9739 X=655637645 Y=6856574808 Z=40536085641 M=124
A=5059 B=5029 C=8316 X=625824528 Y=3403972886 Z=89834825179 M=110
A=9035 B=9424 C=9285 X=241862357 Y=8031903619 Z=72222181790 M=159
A=3702 B=5220 C=6030 X=118785822 Y=8475953208 Z=98444096522 M=83
A=5280 B=3943 C=5359 X=272921779 Y=1934949505 Z=22467650388 M=159
A=7948 B=5283 C=9926 X=524715356 Y=5208354471 Z=46007282246 M=71
A=2868 B=8803 C=5841 X=601159334 Y=3252926981 Z=19231304441 M=50
A=8125 B=9200 C=9744 X=912663176 Y=7134439392 Z=45235109116 M=141
A=3189 B=7482 C=7686 X=135296707 Y=1318110095 Z=40551417987 M=134
A=2365 B=9265 C=9269 X=687504737 Y=5499584641 Z=70272194235 M=107
A=2359 B=9709 C=5674 X=521349616 Y=9281887013 Z=38574712202 M=84
A=2907 B=8931 C=7779 X=477712017 Y=2153877398 Z=20160112196 M=122
A=2438 B=9441 C=7475 X=465494106 Y=6372734754 Z=76048686438 M=68
A=8030 B=3768 C=8270 X=587433618 Y=9123897193 Z=30693211940 M=169
A=9580 B=5755 C=6685 X=868951155 Y=1405789460 Z=37721981509 M=161
A=5853 B=8522 C=9418 X=824773754 Y=2704265998 Z=74144541227 M=61
A=9123 B=3953 C=6402 X=313584275 Y=6762309932 Z=95739219811 M=149
A=2918 B=6560 C=6250 X=379844351 Y=4025261028 Z=88486427524 M=111
A=3845 B=8653 C=5832 X=528350236 Y=1471559705 Z=22374744115 M=194
A=2307 B=5874 C=9717 X=900877748 Y=6663621755 Z=85686579192 M=156
A=5100 B=3209 C=9091 X=303071487 Y=7724955999 Z=89137760125 M=66
A=9117 B=5001 C=9606 X=190582222 Y=2296548599 Z=38789123019 M=75
A=3959 B=4917 C=5939 X=250664091 Y=2377490600 Z=14672517775 M=153
A=3948 B=5457 C=5944 X=273672795 Y=7776911994 Z=21202155640 M=50
A=7373 B=7914 C=6429 X=883511473 Y=8543669333 Z=66081225723 M=76
A=2181 B=9062 C=5702 X=406444199 Y=2516326757 Z=26765238826 M=96
A=9429 B=8419 C=9373 X=269604277 Y=4609457769 Z=24211687301 M=166
A=6463 B=9079 C=7786 X=524428361 Y=2803157054 Z=10698050267 M=62
A=8449 B=7914 C=9282 X=341165713 Y=3388792765 Z=74946969253 M=85
A=7078 B=4103 C=9292 X=512749137 Y=7422744604 Z=46956043141 M=196
A=7497 B=9252 C=8400 X=126211357 Y=6113983596 Z=42425428176 M=168
A=4728 B=5672 C=7978 X=968771418 Y=1010009072 Z=72074346476 M=79
A=8819 B=8842 C=9995 X=522795569 Y=1958918668 Z=89769498054 M=78
A=8425 B=7550 C=9908 X=752986002 Y=6313693837 Z=29467171323 M=81
A=8015 B=5659 C=8074 X=653516127 Y=9912741113 Z=91726192646 M=61
A=9314 B=8438 C=7795 X=594607691 Y=9199693253 Z=15994988120 M=98
A=3346 B=3549 C=7319 X=270993194 Y=7820402434 Z=57934538518 M=77
A=3440 B=6608 C=6495 X=632305691 Y=5699457659 Z=36961596639 M=197
A=9834 B=5428 C=9557 X=885999592 Y=4134599705 Z=59979522200 M=164
A=5194 B=3025 C=6602 X=262163895 Y=2045653702 Z=68918354072 M=190
A=6387 B=8350 C=5775 X=131712345 Y=5336223551 Z=14647289352 M=178
A=3057 B=9155 C=7070 X=865477763 Y=2799786506 Z=34440289366 M=148
A=9980 B=8308 C=5477 X=620785309 Y=8633898637 Z=66124367267 M=190
A=4989 B=9238 C=8013 X=949209860 Y=9982461601 Z=62353990858 M=181
A=5328 B=7381 C=6477 X=344071195 Y=6592993462 Z=29538468213 M=143
A=2424 B=8662 C=5834 X=798117505 Y=1229140403 Z=91860762382 M=91
A=9150 B=7008 C=5547 X=768984319 Y=5854935832 Z=37129507304 M=113
A=9094 B=4239 C=6150 X=143122091 Y=8978946032 Z=97723394217 M=160
A=5961 B=6447 C=6685 X=900009134 Y=4725909018 Z=96087404024 M=78
A=8798 B=3394 C=6122 X=715480765 Y=3612599760 Z=41136762937 M=181
A=3272 B=7170 C=5379 X=248432951 Y=1228101778 Z=14669275133 M=132
A=2943 B=8484 C=6740 X=383333343 Y=9149647755 Z=91237845635 M=153
A=8583 B=9529 C=6787 X=198566310 Y=7111907758 Z=82760943406 M=186
A=8128 B=8098 C=5666 X=230959403 Y=5844000197 Z=79633307048 M=67
A=4639 B=9476 C=9362 X=841542846 Y=9134542623 Z=82924197306 M=187
A=3975 B=4658 C=5307 X=793905847 Y=9437517943 Z=61037528655 M=170
A=4789 B=4375 C=9098 X=431248071 Y=4747205636 Z=96904500428 M=120
A=9603 B=9133 C=8926 X=193273268 Y=9678494088 Z=64425262212 M=84
A=4954 B=4724 C=9496 X=351900240 Y=4602017444 Z=91985766754 M=179
A=9554 B=7910 C=7424 X=981792387 Y=1669727997 Z=51774553440 M=134
A=9187 B=7767 C=7469 X=719326328 Y=2510582792 Z=36614618618 M=60
A=8198 B=9246 C=8243 X=738482161 Y=1716053998 Z=40640145917 M=185
A=2026 B=6850 C=9371 X=669560408 Y=3237658572 Z=91540343509 M=150
A=6450 B=4652 C=9340 X=639620353 Y=5917493157 Z=98740287408 M=149
A=4770 B=6784 C=9764 X=865865078 Y=3207682702 Z=65574502655 M=87
A=4003 B=9259 C=6733 X=598335743 Y=2406891065 Z=88161934204 M=153
A=7355 B=6092 C=6607 X=993313184 Y=7952531852 Z=74532707340 M=121
A=5788 B=3195 C=6598 X=383675414 Y=1544702836 Z=72657162414 M=111
A=2139 B=9075 C=9824 X=341187650 Y=2291961448 Z=91108005403 M=106
A=7850 B=7738 C=9447 X=473108164 Y=5389707875 Z=63000590627 M=182
A=6580 B=7087 C=8872 X=395534791 Y=6867912499 Z=85851750736 M=139
A=4618 B=9674 C=9920 X=785965145 Y=5659884094 Z=35250333624 M=84
A=3433 B=8969 C=7417 X=659993386 Y=2891692097 Z=16106187768 M=154
A=8220 B=6606 C=5573 X=653720579 Y=2304886585 Z=64307926880 M=123
A=7833 B=7296 C=9826 X=726730416 Y=2434975700 Z=25823993653 M=147
